Year,Country,t_wins,t_losses,t_other,t_sixes,t_fours,t_other_runs,t_bowler_wicket,t_fielder_wicket,t_keeper_wicket,t_sixes_given,t_fours_given,t_other_runs_given,t_bowler_wicket_given,t_fielder_wicket_given,t_keeper_wicket_given,t2_wins,t2_losses,t2_other,t2_sixes,t2_fours,t2_other_runs,t2_bowler_wicket,t2_fielder_wicket,t2_keeper_wicket,t2_sixes_given,t2_fours_given,t2_other_runs_given,t2_bowler_wicket_given,t2_fielder_wicket_given,t2_keeper_wicket_given,o_wins,o_losses,o_other,o_sixes,o_fours,o_other_runs,o_bowler_wicket,o_fielder_wicket,o_keeper_wicket,o_sixes_given,o_fours_given,o_other_runs_given,o_bowler_wicket_given,o_fielder_wicket_given,o_keeper_wicket_given,Win-Rate
2008,Pakistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,5.333333333333333,10.666666666666666,84.0,3.3333333333333335,3.6666666666666665,1.0,2.3333333333333335,9.333333333333334,72.33333333333333,1.3333333333333333,3.3333333333333335,0.6666666666666666,17,3,0,3.2,23.55,143.4,3.05,4.95,0.3,2.25,18.45,143.35,1.3,4.0,0.3,0.6
2008,Bangladesh,0,6,1,1.7142857142857142,42.142857142857146,144.14285714285714,5.0,4.428571428571429,0.14285714285714285,2.2857142857142856,51.142857142857146,204.28571428571428,4.285714285714286,12.857142857142858,0.14285714285714285,0,2,0,1.5,9.5,58.0,3.0,2.0,0.5,5.5,12.0,79.5,2.5,5.5,1.0,1,18,0,1.105263157894737,15.578947368421053,117.52631578947368,1.736842105263158,3.263157894736842,0.15789473684210525,3.0,22.0,127.63157894736842,2.6315789473684212,6.052631578947368,0.21052631578947367,0.0
2008,Zimbabwe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,1.6,12.3,134.9,0.8,4.4,0.3,3.2,15.3,115.4,3.6,4.2,0.6,0.2
2009,West Indies,1,6,5,4.25,56.75,255.83333333333334,3.1666666666666665,8.583333333333334,0.0,2.9166666666666665,58.0,303.5,6.833333333333333,8.916666666666666,0.16666666666666666,5,3,0,3.0,13.125,66.125,1.5,5.375,0.0,2.875,16.0,75.625,1.875,3.25,0.25,3,14,1,3.5,15.777777777777779,110.05555555555556,1.2777777777777777,4.388888888888889,0.1111111111111111,2.7222222222222223,14.944444444444445,121.22222222222223,2.5555555555555554,4.888888888888889,0.2222222222222222,0.2
2009,Australia,7,3,3,3.6153846153846154,72.38461538461539,308.38461538461536,5.846153846153846,11.307692307692308,0.15384615384615385,3.0,66.61538461538461,289.7692307692308,4.384615384615385,10.0,0.23076923076923078,3,5,1,4.777777777777778,10.88888888888889,81.0,1.6666666666666667,3.0,0.0,3.7777777777777777,11.333333333333334,65.88888888888889,2.3333333333333335,4.333333333333333,0.2222222222222222,22,14,2,2.6315789473684212,20.55263157894737,141.6578947368421,1.9736842105263157,5.078947368421052,0.13157894736842105,2.263157894736842,19.92105263157895,131.92105263157896,2.0789473684210527,4.2368421052631575,0.21052631578947367,0.8
2009,Sri Lanka,5,2,4,3.3636363636363638,74.27272727272727,334.27272727272725,6.363636363636363,7.454545454545454,0.36363636363636365,4.909090909090909,56.27272727272727,307.27272727272725,4.909090909090909,9.272727272727273,0.09090909090909091,7,6,0,3.0,16.692307692307693,76.61538461538461,2.1538461538461537,4.153846153846154,0.3076923076923077,4.230769230769231,13.23076923076923,76.0,1.6153846153846154,4.461538461538462,0.15384615384615385,10,14,1,2.28,22.8,143.88,2.16,4.08,0.12,2.68,21.6,134.48,1.88,5.48,0.36,0.6
2009,India,3,0,3,6.166666666666667,90.33333333333333,328.1666666666667,4.833333333333333,10.333333333333334,0.16666666666666666,3.3333333333333335,71.83333333333333,295.1666666666667,4.0,7.833333333333333,0.16666666666666666,4,6,0,6.1,12.0,75.0,2.0,3.0,0.2,4.3,14.7,76.8,1.6,4.3,0.1,17,10,4,4.161290322580645,20.838709677419356,125.54838709677419,1.935483870967742,4.419354838709677,0.41935483870967744,3.2580645161290325,20.516129032258064,131.51612903225808,1.3870967741935485,3.967741935483871,0.0967741935483871,0.4
2009,New Zealand,1,4,3,3.375,60.875,273.75,2.875,12.25,0.125,5.875,82.875,298.5,5.875,10.625,0.375,6,6,0,4.083333333333333,10.916666666666666,70.0,1.5,4.833333333333333,0.0,4.083333333333333,11.416666666666666,67.41666666666667,1.9166666666666667,3.6666666666666665,0.25,9,10,2,3.3333333333333335,15.571428571428571,114.71428571428571,1.7142857142857142,5.0,0.0,3.9047619047619047,19.333333333333332,119.9047619047619,2.4761904761904763,4.238095238095238,0.14285714285714285,0.6
2009,South Africa,1,4,1,3.5,64.0,300.3333333333333,4.333333333333333,11.5,0.16666666666666666,5.5,73.33333333333333,314.8333333333333,7.833333333333333,8.5,0.16666666666666666,8,4,0,5.166666666666667,13.583333333333334,71.91666666666667,2.25,4.666666666666667,0.08333333333333333,4.083333333333333,11.833333333333334,74.5,1.9166666666666667,3.1666666666666665,0.16666666666666666,11,7,0,2.4444444444444446,22.444444444444443,146.05555555555554,2.0555555555555554,5.5,0.16666666666666666,2.9444444444444446,20.833333333333332,140.11111111111111,1.6111111111111112,4.833333333333333,0.1111111111111111,0.4
2009,England,5,2,7,2.142857142857143,61.214285714285715,301.57142857142856,7.071428571428571,7.214285714285714,0.14285714285714285,3.0,62.285714285714285,263.5,4.071428571428571,8.785714285714286,0.0,3,5,1,3.0,11.88888888888889,74.0,0.8888888888888888,3.4444444444444446,0.4444444444444444,4.888888888888889,10.777777777777779,70.0,2.4444444444444446,4.0,0.0,11,11,0,2.409090909090909,18.318181818181817,128.5909090909091,2.227272727272727,4.818181818181818,0.045454545454545456,2.909090909090909,20.636363636363637,123.95454545454545,2.1818181818181817,4.863636363636363,0.18181818181818182,0.6
